Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00        1     0.00     0.00  std::vector<int, std::allocator<int> >* std::__uninitialized_default_n<std::vector<int, std::allocator<int> >*, unsigned long>(std::vector<int, std::allocator<int> >*, unsigned long)
  0.00      0.00     0.00        1     0.00     0.00  int* std::__uninitialized_move_if_noexcept_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&)
  0.00      0.00     0.00        1     0.00     0.00  void std::_Destroy<int*>(int*, int*)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2020 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) no time propagated

index % time    self  children    called     name
[1]      0.0    0.00    0.00      26+52      <cycle 1 as a whole> [1]
                0.00    0.00      52             std::deque<int, std::allocator<int> >::push_back(int const&) <cycle 1> [20]
                0.00    0.00      26             std::common_type<std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::type std::chrono::operator-<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >(std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > > const&, std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > > const&) <cycle 1> [29]
-----------------------------------------------
[2]      0.0    0.00    0.00       6+8       <cycle 2 as a whole> [2]
                0.00    0.00       8             std::_Bvector_base<std::allocator<bool> >::_Bvector_base(std::allocator<bool> const&) <cycle 2> [63]
                0.00    0.00       6             std::stack<int, std::deque<int, std::allocator<int> > >::push(int const&) <cycle 2> [71]
-----------------------------------------------
[3]      0.0    0.00    0.00     296+458     <cycle 3 as a whole> [3]
                0.00    0.00     120             std::vector<bool, std::allocator<bool> >::_M_fill_insert(std::_Bit_iterator, unsigned long, bool) <cycle 3> [11]
                0.00    0.00     105+10          std::vector<int, std::allocator<int> >::_M_check_len(unsigned long, char const*) const <cycle 3> [12]
                0.00    0.00      60             void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&) <cycle 3> [17]
                0.00    0.00      45+1           void std::vector<int, std::allocator<int> >::_M_realloc_insert<int const&>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&) <cycle 3> [21]
                0.00    0.00      45             int* std::__relocate_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&) <cycle 3> [22]
                0.00    0.00      26+13          std::fill(std::_Bit_iterator, std::_Bit_iterator, bool const&) <cycle 3> [31]
                0.00    0.00      36             std::deque<int, std::allocator<int> >::_M_reallocate_map(unsigned long, bool) <cycle 3> [24]
                0.00    0.00      32             std::_Deque_base<int, std::allocator<int> >::_M_initialize_map(unsigned long) <cycle 3> [25]
                0.00    0.00      29             std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_Vector_impl_data::_Vector_impl_data() <cycle 3> [28]
                0.00    0.00      13+13          std::__deque_buf_size(unsigned long) <cycle 3> [55]
                0.00    0.00      26             std::vector<bool, std::allocator<bool> >::_M_fill_assign(unsigned long, bool) <cycle 3> [30]
                0.00    0.00      25             std::move_iterator<int*> std::__make_move_if_noexcept_iterator<int, std::move_iterator<int*> >(int*) <cycle 3> [33]
                0.00    0.00      16             std::_Bvector_base<std::allocator<bool> >::_Bvector_impl_data::_M_reset() <cycle 3> [39]
                0.00    0.00      16             std::deque<int, std::allocator<int> >::_S_max_size(std::allocator<int> const&) <cycle 3> [40]
                0.00    0.00      16             std::_Deque_base<int, std::allocator<int> >::_Deque_impl::_Deque_impl() <cycle 3> [37]
                0.00    0.00      15             std::vector<bool, std::allocator<bool> >::size() const <cycle 3> [42]
                0.00    0.00      15             unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&) <cycle 3> [47]
                0.00    0.00      14             std::vector<int, std::allocator<int> >::end() <cycle 3> [48]
                0.00    0.00      13+1           std::vector<bool, std::allocator<bool> >::insert(std::_Bit_const_iterator, unsigned long, bool const&) <cycle 3> [54]
                0.00    0.00      13             std::deque<int, std::allocator<int> >::~deque() <cycle 3> [52]
                0.00    0.00      13             std::chrono::duration<long, std::ratio<1l, 1000000000l> >::count() const <cycle 3> [51]
                0.00    0.00      13             __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator++() <cycle 3> [49]
